id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
1	where are the washington redskins based out of	"FedExField in Landover, Maryland | the Washington metropolitan area"	washington metropolitan area	Yes	"[[0.9522848725318909, 0.047714997082948685], [0.011884571984410286, 0.9881154894828796]]"
2	where are the washington redskins based out of	"FedExField in Landover, Maryland | the Washington metropolitan area"	"The Washington Redskins are based out of Landover, Maryland."	Yes	"[[0.48812732100486755, 0.5118727087974548], [0.2564341127872467, 0.7435657978057861]]"
3	where are the washington redskins based out of	"FedExField in Landover, Maryland | the Washington metropolitan area"	"washington, d. c."	No	"[[0.93337482213974, 0.06662523001432419], [0.6836111545562744, 0.31638893485069275]]"
4	where are the washington redskins based out of	"FedExField in Landover, Maryland | the Washington metropolitan area"	"Washington, D.C."	No	"[[0.93337482213974, 0.06662523001432419], [0.6836111545562744, 0.31638893485069275]]"
5	where are the washington redskins based out of	"FedExField in Landover, Maryland | the Washington metropolitan area"	"Landover , Maryland"	No	"[[0.5920313596725464, 0.407968670129776], [0.9659479856491089, 0.034052059054374695]]"
6	the boiling point of water is 100 degrees celsius express this in si units	100 °C	373.15 K	No	"[[0.9302256107330322, 0.06977441161870956]]"
7	the boiling point of water is 100 degrees celsius express this in si units	100 °C	kelvin	No	"[[0.9164621829986572, 0.08353783190250397]]"
8	the boiling point of water is 100 degrees celsius express this in si units	100 °C	centigrade	No	"[[0.9246194958686829, 0.07538045942783356]]"
9	the boiling point of water is 100 degrees celsius express this in si units	100 °C	k	No	"[[0.927720308303833, 0.07227963954210281]]"
10	the boiling point of water is 100 degrees celsius express this in si units	100 °C	Celsius	No	"[[0.7301838994026184, 0.26981616020202637]]"
11	the boiling point of water is 100 degrees celsius express this in si units	100 °C	100°C = 373.15 K	Yes	"[[0.3158990442752838, 0.6841009259223938]]"
12	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	2.4 billion years ago	Yes	"[[0.3835803270339966, 0.6164197325706482]]"
13	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	541 million years ago	No	"[[0.7099629640579224, 0.2900370955467224]]"
14	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	around 2.45 billion years ago	Yes	"[[0.00981794111430645, 0.9901820421218872]]"
15	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	around 280 million years ago	Yes	"[[0.4427017271518707, 0.5572983026504517]]"
16	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	2.45 billion years ago	Yes	"[[0.06143651902675629, 0.9385634660720825]]"
17	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	Approximately 2.45 billion years ago.	Yes	"[[0.012372302822768688, 0.9876276850700378]]"
18	when did earth's atmosphere change due to living organisms	around 2.45Â billion years ago	around 2.4 billion years ago	Yes	"[[0.11721516400575638, 0.8827848434448242]]"
19	which president supported the creation of the environmental protection agency (epa)	President Richard Nixon | Richard Nixon	Richard Nixon.	Yes	"[[0.019876329228281975, 0.9801236391067505], [0.009561833925545216, 0.9904381036758423]]"
20	which president supported the creation of the environmental protection agency (epa)	President Richard Nixon | Richard Nixon	Richard Nixon	Yes	"[[0.017381977289915085, 0.9826179146766663], [0.010029779747128487, 0.9899702668190002]]"
21	which president supported the creation of the environmental protection agency (epa)	President Richard Nixon | Richard Nixon	Nixon	Yes	"[[0.20163331925868988, 0.7983666658401489], [0.32470962405204773, 0.6752904057502747]]"
22	which president supported the creation of the environmental protection agency (epa)	President Richard Nixon | Richard Nixon	president richard nixon	Yes	"[[0.008666419424116611, 0.9913336038589478], [0.01004349160939455, 0.9899564981460571]]"
23	where does the largest amount of federal tax revenue come from	California	The largest amount of federal tax revenue comes from individual income taxes.	No	"[[0.5018671154975891, 0.4981328547000885]]"
24	where does the largest amount of federal tax revenue come from	California	individual income taxes	No	"[[0.9165278673171997, 0.08347206562757492]]"
25	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	special honor	No	"[[0.9637783765792847, 0.03622155264019966], [0.9688759446144104, 0.0311240553855896], [0.9137061238288879, 0.08629389107227325], [0.9642481803894043, 0.035751793533563614]]"
26	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	"Hosanna is an expression of praise or adoration, especially in the form of a shout or song."	No	"[[0.9332020878791809, 0.06679785251617432], [0.9580069184303284, 0.04199313372373581], [0.7719988226890564, 0.22800104320049286], [0.9582880735397339, 0.04171183332800865]]"
